Indicador;Sexo, grupo de edad y nivel de estudios;periodo;Total
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo;Mujeres;2012;0,8
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo;Mujeres;2011;0,7
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo;De 16 a 24 años;2025;5,6
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo;De 16 a 24 años;2024;5,5
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo;De 16 a 24 años;2023;5,6
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo;De 16 a 24 años;2022;4,6
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo;De 16 a 24 años;2021;3,8
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo;De 16 a 24 años;2020;3,5
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo;De 16 a 24 años;2019;4,2
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo;De 16 a 24 años;2018;4,3
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo;De 16 a 24 años;2017;4,0
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo;De 16 a 24 años;2016;4,5
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo;De 16 a 24 años;2015;4,1
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo;De 16 a 24 años;2014;4,4
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo;De 16 a 24 años;2013;4,0
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo;De 16 a 24 años;2012;3,7
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo;De 16 a 24 años;2011;2,5
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo;De 25 a 34 años;2025;1,6
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo;De 25 a 34 años;2024;1,6
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo;De 25 a 34 años;2023;1,6
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo;De 25 a 34 años;2022;1,6
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo;De 25 a 34 años;2021;1,8
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo;De 25 a 34 años;2020;1,8
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo;De 25 a 34 años;2019;1,8
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo;De 25 a 34 años;2018;1,8
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo;De 25 a 34 años;2017;1,8
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo;De 25 a 34 años;2016;1,5
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo;De 25 a 34 años;2015;1,5
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo;De 25 a 34 años;2014;1,6
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo;De 25 a 34 años;2013;1,4
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo;De 25 a 34 años;2012;1,0
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo;De 25 a 34 años;2011;1,0
EMPLEO VINCULADO AL DEPORTE: En porcentaje del total de empleo;De 35 a 44 años;2025;0,8
