indicador,situacion_jornada,sexo,periodo,valor
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados: Contrato temporal,Total,2021,68.2
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados: Contrato temporal,Total,2020,62.5
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados: Contrato temporal,Total,2019,91.1
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados: Contrato temporal,Total,2018,89.2
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados: Contrato temporal,Total,2017,84.8
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados: Contrato temporal,Total,2016,78.7
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados: Contrato temporal,Total,2015,71.9
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados: Contrato temporal,Total,2014,71.5
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados: Contrato temporal,Total,2013,60.0
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados: Contrato temporal,Total,2012,65.1
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados: Contrato temporal,Total,2011,64.0
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados: Contrato temporal,Hombres,2025,44.7
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados: Contrato temporal,Hombres,2024,41.1
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados: Contrato temporal,Hombres,2023,41.2
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados: Contrato temporal,Hombres,2022,41.9
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados: Contrato temporal,Hombres,2021,35.9
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados: Contrato temporal,Hombres,2020,37.1
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados: Contrato temporal,Hombres,2019,54.4
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados: Contrato temporal,Hombres,2018,52.3
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados: Contrato temporal,Hombres,2017,
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados: Contrato temporal,Hombres,2016,
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados: Contrato temporal,Hombres,2015,
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados: Contrato temporal,Hombres,2014,
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados: Contrato temporal,Hombres,2013,
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados: Contrato temporal,Hombres,2012,
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados: Contrato temporal,Hombres,2011,
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados: Contrato temporal,Mujeres,2025,32.6
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados: Contrato temporal,Mujeres,2024,29.7
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados: Contrato temporal,Mujeres,2023,34.0
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados: Contrato temporal,Mujeres,2022,31.8
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados: Contrato temporal,Mujeres,2021,32.4
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados: Contrato temporal,Mujeres,2020,25.4
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados: Contrato temporal,Mujeres,2019,36.7
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados: Contrato temporal,Mujeres,2018,36.9
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados: Contrato temporal,Mujeres,2017,
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados: Contrato temporal,Mujeres,2016,
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados: Contrato temporal,Mujeres,2015,
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados: Contrato temporal,Mujeres,2014,
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados: Contrato temporal,Mujeres,2013,
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados: Contrato temporal,Mujeres,2012,
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados: Contrato temporal,Mujeres,2011,
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Tipo de jornada: Tiempo completo,Total,2025,147.6
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Tipo de jornada: Tiempo completo,Total,2024,144.1
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Tipo de jornada: Tiempo completo,Total,2023,142.9
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Tipo de jornada: Tiempo completo,Total,2022,135.7
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Tipo de jornada: Tiempo completo,Total,2021,125.1
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Tipo de jornada: Tiempo completo,Total,2020,116.1
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Tipo de jornada: Tiempo completo,Total,2019,122.8
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Tipo de jornada: Tiempo completo,Total,2018,121.0
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Tipo de jornada: Tiempo completo,Total,2017,110.9
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Tipo de jornada: Tiempo completo,Total,2016,105.4
