indicador,situacion_jornada,periodo,valor
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados: Contrato indefinido,2021-1T,116.1
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados: Contrato indefinido,2020-4T,121.1
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados: Contrato indefinido,2020-3T,99.6
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados: Contrato indefinido,2020-2T,101.1
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados: Contrato indefinido,2020-1T,105.4
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados: Contrato indefinido,2019-4T,109.1
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados: Contrato indefinido,2019-3T,98.1
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados: Contrato indefinido,2019-2T,102.0
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados: Contrato indefinido,2019-1T,103.0
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados: Contrato indefinido,2018-4T,103.5
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados: Contrato indefinido,2018-3T,101.4
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados: Contrato indefinido,2018-2T,105.1
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados: Contrato indefinido,2018-1T,103.6
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados: Contrato indefinido,2017-4T,103.1
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados: Contrato indefinido,2017-3T,91.2
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados: Contrato indefinido,2017-2T,91.0
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados: Contrato indefinido,2017-1T,96.6
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados: Contrato indefinido,2016-4T,92.6
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados: Contrato indefinido,2016-3T,91.4
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados: Contrato indefinido,2016-2T,95.1
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados: Contrato indefinido,2016-1T,96.8
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados: Contrato indefinido,2015-4T,84.5
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados: Contrato indefinido,2015-3T,92.2
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados: Contrato indefinido,2015-2T,99.4
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados: Contrato indefinido,2015-1T,97.7
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados: Contrato indefinido,2014-4T,98.2
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados: Contrato indefinido,2014-3T,91.5
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados: Contrato indefinido,2014-2T,96.1
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados: Contrato indefinido,2014-1T,103.7
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados: Contrato indefinido,2013-4T,87.4
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados: Contrato indefinido,2013-3T,83.6
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados: Contrato indefinido,2013-2T,80.7
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados: Contrato indefinido,2013-1T,78.2
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados: Contrato indefinido,2012-4T,73.1
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados: Contrato indefinido,2012-3T,75.3
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados: Contrato indefinido,2012-2T,81.5
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados: Contrato indefinido,2012-1T,72.2
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados: Contrato indefinido,2011-4T,66.4
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados: Contrato indefinido,2011-3T,66.7
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados: Contrato indefinido,2011-2T,73.8
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados: Contrato indefinido,2011-1T,71.5
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados: Contrato temporal,2025-4T,70.4
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados: Contrato temporal,2025-3T,98.0
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados: Contrato temporal,2025-2T,69.9
EMPLEO VINCULADO AL DEPORTE: Valores absolutos (En miles),Situación profesional: Asalariados: Contrato temporal,2025-1T,70.7
